export_name,key,question,context,fieldTitle
Reserved,RESERVED,None,,
CapTableDocument,CAP_TABLE__DOC,Cap table,"If you have an ownership interest in this company, please upload a cap table that shows the breakdown of who else has ownership interest in your company. You will need to screenshot it or export it as a pdf in order to upload it.",
CompanyCapTableDocument,CAP_TABLE__DOC,Cap table,"If you have an ownership interest in this company, please upload a cap table that shows the breakdown of who else has ownership interest in your company. You will need to screenshot it or export it as a pdf in order to upload it.",
RecommenderCount,%(exhibitCount)s_%(evidenceType)s_RECOMMENDER_COUNT,How many recommenders do you have?,,
RecommenderName,%(recommenderCount)s_%(exhibitCount)s_%(evidenceType)s_RECOMMENDER_NAME,What is your recommenders full name?,,Recommender's full name
RecommenderEmail,%(recommenderCount)s_%(exhibitCount)s_%(evidenceType)s_RECOMMENDER_EMAIL,What is your recommenders email?,,Recommender's email
RecommenderTitle,%(recommenderCount)s_%(exhibitCount)s_%(evidenceType)s_RECOMMENDER_TITLE,What is your recommenders professional title?,,Title
RecommenderCompany,%(recommenderCount)s_%(exhibitCount)s_%(evidenceType)s_RECOMMENDER_COMPANY,What organization does your recommender hold a title at?,,Organization
RecommenderBioLink,%(recommenderCount)s_%(exhibitCount)s_%(evidenceType)s_RECOMMENDER_BIO__LINK,"Please add link to recommenders bio, faculty profile, or LinkedIn","If you have link for %(recommenderName)s, please provide it here",Link to bio or LinkedIn
RecommenderResumeDocument,%(recommenderCount)s_%(exhibitCount)s_%(evidenceType)s_RECOMMENDER_RESUME__DOC,Recommenders resume or CV,"If you can find a resume or CV for %(recommenderName)s, please provide it here",
H1BAttorneyApproved,H1B_ATTORNEY_APPROVED,Is this application ready for bundling?,,Looks good!
O1AAttorneyApproved,O1A_ATTORNEY_APPROVED,Is this application ready for bundling?,,Looks good!
O1BAttorneyApproved,O1B_ATTORNEY_APPROVED,Is this application ready for bundling?,,Looks good!
USCurrentAddressStreet,US_CURRENT_ADDRESS_STREET,What is the number and street of your current U.S. address?,This is the address where you receive mail.,Street name and number
USCurrentAddressType,US_CURRENT_ADDRESS_TYPE,"Does your current U.S. address have an apartment, suite, or floor number?",This address is where you receive mail. This cannot be a P.O. Box.,This address is a(n)
USCurrentAddressAptNumber,US_CURRENT_ADDRESS_APT_NUMBER,"What is the apartment, suite, or floor number of your current U.S. address?",This address is where you receive mail.,Apartment/suite/floor number
USCurrentAddressCity,US_CURRENT_ADDRESS_CITY,In which city is your current U.S. address?,This address is where you receive mail.,City/Town
USCurrentAddressStateAbbv,US_CURRENT_ADDRESS_STATE_ABBV,In which US state is your current U.S. address? Please enter the two-letter abbreviation for your state.,This address is where you receive mail.,U.S. State
USCurrentAddressZip,US_CURRENT_ADDRESS_ZIP,What is the zip code of your current U.S. address?,,Zip Code
CurrentAddressZip,CURRENT_ADDRESS_ZIP,What is the zip code of your current address?,,Zip Code
CurrentAddressPostalCode,CURRENT_ADDRESS_POSTAL_CODE,What is the postal code of your current address?,,Postal Code
CurrentAddressStreet,CURRENT_ADDRESS_STREET,What is the number and street of your current address?,,Street name and number
CurrentAddressType,CURRENT_ADDRESS_TYPE,"Does your current address have an apartment, suite, or floor number?",,This address is a(n)
CurrentAddressAptNumber,CURRENT_ADDRESS_APT_NUMBER,"What is the apartment, suite, or floor number of your current address?",,Apartment/suite/floor number
CurrentAddressCity,CURRENT_ADDRESS_CITY,In which city is your current address?,,City/Town
CurrentAddressStateAbbv,CURRENT_ADDRESS_STATE_ABBV,In which state is your current address?,,State
CurrentAddressProvince,CURRENT_ADDRESS_PROVINCE,In which province is your current address?,,Province
CurrentAddressCountry,CURRENT_ADDRESS_COUNTRY,In which country is your current address?,,Country
ForeignAddressStreet,FOREIGN_ADDRESS_STREET,What is the number and street of your address outside the U.S.?,This is the address where you receive mail.,Street name and number
ForeignAddressType,FOREIGN_ADDRESS_TYPE,"Does your address outside the U.S. have an apartment, suite, or floor number?",This address is where you receive mail. This cannot be a P.O. Box.,This address is a(n)
ForeignAddressAptNumber,FOREIGN_ADDRESS_APT_NUMBER,"What is the apartment, suite, or floor number of your address outside the U.S.?",This address is where you receive mail.,Apartment/suite/floor number
ForeignAddressCity,FOREIGN_ADDRESS_CITY,In which city is your address outside the U.S.?,This address is where you receive mail.,City/Town
ForeignAddressState,FOREIGN_ADDRESS_STATE,"In which state is your address outside the U.S., if there is one?",This address is where you receive mail.,State
ForeignAddressProvince,FOREIGN_ADDRESS_PROVINCE,"In which province is your address outside the U.S., if there is one?",This address is where you receive mail.,Province
ForeignAddressCountry,FOREIGN_ADDRESS_COUNTRY,"In which country is your address outside the U.S., if there is one?",This address is where you receive mail.,Country
ForeignAddressPostalCode,FOREIGN_ADDRESS_POSTAL_CODE,What is the postal code of your address outside the U.S.?,This address is where you receive mail.,Postal Code
ForeignAddressZipCode,FOREIGN_ADDRESS_ZIP,What is the zip code of your address outside the U.S.?,,Zip Code
PersonalOwnershipInterest,OWNERSHIP_INTEREST,"Do you have ownership interest (e.g, shares) in the organization you'll be employed at?",,
PersonalOwnershipExplanation,OWNERSHIP_EXPLANATION,Please explain your ownership interest in the organization you'll be employed at.,How many shares do you have? How many have vested and how many have you exercised?,Third-person explanation
PreviousNonimmigrantPetition,PREVIOUS_NONIMMIGRANT_PETITION,Has a nonimmigrant petition ever previously been filed on your behalf?,,
GivenClassificationLastSevenYears,GIVEN_CLASSIFICATION_LAST_SEVEN_YEARS,Have you ever been given the classification you are now requesting?,,
DeniedClassificationLastSevenYears,DENIED_CLASSIFICATION_LAST_SEVEN_YEARS,Have you ever been denied the classification you are now requesting?,,
PreviousPetitionsForDependents,PREVIOUS_PETITIONS_FOR_DEPENDENTS,Have you ever filed an immigrant petition or green card application in the United States for yourself or your dependents?,Dependents include spouses and children who you want accompanying you in the U.S.,
PreviousPetitionsForDependentsNumber,PREVIOUS_PETITIONS_FOR_DEPENDENTS_NUMBER,How many immigrant petitions have you filed?,,
InRemovalProceedings,IN_REMOVAL_PROCEEDINGS,Are you currently in removal proceedings?,"A ""removal proceeding"" is a hearing that happens at a U.S. immigration court. It's presided over by an immigration judge. The goal of the hearing is to decide if you can stay in the U.S. or if you will be deported (removed).",
YouOrDependentsInRemovalProceedings,YOU_OR_DEPENDENTS_IN_REMOVAL_PROCEEDINGS,Are you or your dependents in removal proceedings currently?,,
NamesOfPeopleInRemovalProceedings,NAMES_OF_PEOPLE_IN_REMOVAL_PROCEEDINGS,Please list the names of people in removal proceedings.,,Please list the names of people in removal proceedings
MilitaryTechnology,MILITARY_TECHNOLOGY,Does your work involve arms or military technology?,,
CompanyDayPhone,COMPANY_DAY_PHONE,What is the daytime phone number of the company employing you?,,Daytime Phone Number
CompanyMobilePhone,COMPANY_MOBILE_PHONE,What is the mobile phone number of the company employing you?,,Mobile Phone Number
CompanyEmail,COMPANY_EMAIL,What is the email address (if any) of the company employing you?,,Email Address (if any)
CompanyFax,COMPANY_FAX,What is the fax number of the company employing you?,,Fax Number
CompanyFEINExists,COMPANY_FEIN_EXISTS,Does the company have a Federal Employer Identification Number (FEIN)?,,
CompanyFEIN,COMPANY_FEIN,What is the Federal Employer Identification Number of the company employing you?,,"If yes, what is your Federal Employer Identification Number?"
CompanyMailAddressStreet,COMPANY_MAIL_ADDRESS_STREET,What is the street name and number of the mailing address of the company where you will work?,,Street name and number
CompanyMailAddressType,COMPANY_MAIL_ADDRESS_TYPE,"Does the mailing address of the company employing you have an Apartment, Suite, or Floor?",,This address is a(n)
CompanyMailAddressAptNumber,COMPANY_MAIL_ADDRESS_APT_NUMBER,"What is the apartment, suite, or floor number of the mailing address of the company employing you?",,Number
CompanyMailAddressCity,COMPANY_MAIL_ADDRESS_CITY,What is the city of the address of the company employing you?,,City/town
CompanyMailAddressCounty,COMPANY_MAIL_ADDRESS_COUNTY,What is the county of the address of the company?,,County
